,0
0,21.277342306351862
1,16.683577925643508
2,31.502319879808027
3,19.436865949633734
4,16.104955393831972
5,21.445687718862253
6,16.171732327808733
7,26.516897063099755
8,30.266668934765747
9,11.265257070367245
10,19.100476885095283
11,13.120342323820926
12,13.7234540410094
13,24.094871541700215
14,28.41510017489523
15,9.449576931546957
16,27.295510220619384
17,28.041788449169772
18,24.493234243707104
19,16.81177299630225
20,21.018679188835737
21,18.526528875514465
22,24.094199673105603
23,11.061456891786218
24,22.444700479659566
25,21.72805128869033
26,32.97505335495325
27,28.200468392363852
28,24.319669141788992
29,24.962436955758225
30,32.23531816777414
31,12.17384997121232
32,12.073432136224406
33,25.51503229879135
34,15.790622171597922
35,13.972856023465896
36,26.253018580988716
37,22.667759772332293
38,15.516414497072626
39,18.99277393288211
40,17.366523417226652
41,18.854866406525428
42,21.3890426214526
43,29.12040443339685
44,17.52491342435854
45,27.84573612883679
46,19.684788573537016
47,20.25119843981609
48,18.97360938766203
49,24.784411695389373
50,21.71244112688039
51,21.616555607909213
52,38.61603371993563
53,13.356400711985735
54,19.419468017838085
55,22.718419600201333
56,18.119959383474022
57,40.2800947372459
58,21.86480111431581
59,18.397790958242076
60,26.443877358969466
61,18.538551958720852
62,25.2292206806687
63,28.637729918776973
64,12.70742067168746
65,3.590535198430757
66,33.50846347504739
67,20.169505125310245
68,16.72982514107753
69,20.950344894234167
70,35.32721497303582
71,20.108872566711145
72,25.02164093153551
73,25.724422864216898
74,15.893594940661144
75,23.86677836722621
76,15.568567042461607
77,17.12577219919731
78,21.423131911118922
79,12.663754566632534
80,17.572821951643398
81,20.461271157239374
82,27.557926334647078
83,28.65319070977015
84,17.56332941465783
85,28.02663662084775
86,22.490587363684742
87,25.437918888981308
88,21.567803385783098
89,22.171640264217242
90,15.567769339394745
91,19.502716124800823
92,12.800241182857148
93,21.927336731205994
94,21.007489907304773
95,30.349954064290223
96,16.518381043362666
97,39.167846783904686
98,23.715292774939662
99,24.728765211384015
100,8.726196923301789
101,20.99182524664716
102,28.93377252497691
103,4.496684103327166
104,40.954793458668334
105,33.75964479871858
106,13.641832558001823
107,25.325003433797846
108,27.7518325444708
109,22.442230035720065
110,11.750319409282557
111,28.783152859045735
112,19.3324091230345
113,17.110157468017007
114,28.586356813285203
115,22.247514118710402
116,16.593450676201936
117,17.685630822937775
118,25.8698645266285
119,19.757366410568014
120,32.06345524763924
121,21.731870484084677
122,16.785853503596222
123,18.027687988215632
124,21.08552905349766
125,20.205277653691986
126,26.532436996613086
127,19.31757199224428
128,10.878143945463222
129,32.257126722712925
130,17.587497286564464
131,23.915334994752122
132,24.50067140112713
133,10.500719469738641
134,24.58302051995748
135,19.89313930834368
136,20.2288305933297
